EPSG Code,Autodesk Name ,Problem Description,Action Date,Action
3042,ETRF89.TM30,"EPSG changed their name for this system to ""ETRS89 / UTM zone 30N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
3043,ETRF89.TM31,"EPSG changed their name for this system to ""ETRS89 / UTM zone 31N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
3044,ETRF89.TM32,"EPSG changed their name for this system to ""ETRS89 / UTM zone 32N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
3045,ETRF89.TM33,"EPSG changed their name for this system to ""ETRS89 / UTM zone 33N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
3046,ETRF89.TM34,"EPSG changed their name for this system to ""ETRS89 / UTM zone 34N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
3047,ETRF89.TM35,"EPSG changed their name for this system to ""ETRS89 / UTM zone 35N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
3048,ETRF89.TM36,"EPSG changed their name for this system to ""ETRS89 / UTM zone 36N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
3049,ETRF89.TM37,"EPSG changed their name for this system to ""ETRS89 / UTM zone 37N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
3050,ETRF89.TM38,"EPSG has deprecated this system as the useful  range of the projected coordinate system is outside the range of the underlying (i.e. base) geographic coordinate system.  I suppose we should deprecate this system, but there is no replacement for it. ",3/29/2013,Deprecated 3050 in coordsys.asc and category.asc
3051,ETRF89.TM39,"EPSG has deprecated this system as the useful  range of the projected coordinate system is outside the range of the underlying (i.e. base) geographic coordinate system.  I suppose we should deprecate this system, but there is no replacement for it. ",3/29/2013,Deprecated 3051 in coordsys.asc and category.asc
3146,Pulkovo42.GK3d-6,Deprecated by EPSG and not replaced with anything. Reason: System used onshore only; this zone covers only offshore areas.,3/29/2013,Deprecated 3146 in coordsys.asc and category.asc
3147,Pulkovo42.GK3d/CM-18E,Deprecated by EPSG and not replaced with anything. Reason: System used onshore only; this zone covers only offshore areas.,3/29/2013,Deprecated 3147 in coordsys.asc and category.asc
3821,TAIWAN1967.LL,This could related to the mis-classification of the Name Mapper entry fro this geographic coordinate system.  Think this problem goes away if the name is properly classified.,3/27/2013,"No action required, previous correction fixed this problem."
3824,TAIWAN1997.LL,This could related to the mis-classification of the Name Mapper entry fro this geographic coordinate system.  Think this problem goes away if the name is properly classified.,3/27/2013,"No action required, previous correction fixed this problem."
4225,CORREGO.LL,"EPSG changed the name to ""Corrego Alegre 1970-72"" in release 7.09",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
20248,AMG66-48-GRID,EPSG has deprecated this coordinate system and not replaced it with anything.  Reason for deprecation: Falls outside EEZ area.,3/29/2013,Deprecated 20248 in coordsys.asc and category.asc
20348,AMG84-48-GRID,EPSG has deprecated this coordinate system and not replaced it with anything.  Reason for deprecation: Falls outside EEZ area.,3/29/2013,Deprecated 20348 in coordsys.asc and category.asc
20357,AMG-57-Grid,EPSG has deprecated this coordinate system and not replaced it with anything.  Reason for deprecation: System not adopted.,3/29/2013,Deprecated 20357 in coordsys.asc and category.asc
20358,AMG84-58-GRID,EPSG has deprecated this coordinate system and not replaced it with anything.  Reason for deprecation: System not adopted.,3/29/2013,Deprecated 20358 in coordsys.asc and category.asc
22236,Cape-1.UTM-36S,EPSG has deprecated this coordinate system and not replaced it with anything.  Reason for deprecation: Not in use.,3/29/2013,Deprecated 22236 in coordsys.asc and category.asc
22521,Corrego.UTM-21S,"EPSG changes the name of the underlying datum in 7.09, thus the datum preamble of this CRS definition was also changed.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
22522,Corrego.UTM-22S,"EPSG changes the name of the underlying datum in 7.09, thus the datum preamble of this CRS definition was also changed.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
22523,Corrego.UTM-23S,"EPSG changes the name of the underlying datum in 7.09, thus the datum preamble of this CRS definition was also changed.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
22524,Corrego.UTM-24S,"EPSG changes the name of the underlying datum in 7.09, thus the datum preamble of this CRS definition was also changed.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
24373,IND-IIIA/a,"As part of a general update with regard to area of use information, the EPSG name of the system also got changed.",3/29/2013,"Updated the name using Excel, retained the old name as an alias."
24374,IND-IVA/a,"As part of a general update with regard to area of use information, the EPSG name of the system also got changed.",3/29/2013,"Updated the name using Excel, retained the old name as an alias."
24381,Kalianpur1975.India-III,"As part of a general update with regard to area of use information, the EPSG name of the system also got changed.",3/29/2013,"Updated the name using Excel, retained the old name as an alias."
24383,Kalianpur1975.India-IV,"As part of a general update with regard to area of use information, the EPSG name of the system also got changed.",3/29/2013,"Updated the name using Excel, retained the old name as an alias."
25838,ETRS89.UTM-38N,"EPSG has deprecated this system as the useful  range of the projected coordinate system is outside the range of the underlying (i.e. base) geographic coordinate system.  I suppose we should deprecate this system, but there is no replacement for it.",3/29/2013,Deprecated 25838 in coordsys.asc and category.asc
26801,MICHIGAN.East,"EPSG deprecated this system and replaced it with 5623 which is referenced to NAD27 instead of the old MICHIGAN.  There are two versions of pre 1983 Michigan State Planes: a Lambert based set of systems, and a Transverse Mercator set of systems. In reality, one set is referenced to the elevated ellipsoid datum (MICHIGAN) and the other referenced to NAD27.  Exactly which system is referenced to which datum has always been confused: different sources had different associations.  This switch by EPSG is the latest switch.  I believe CS-MAP had it originally correct, but then changed to match EPSG.  In any case, we should change to agree with the latest EPSG, recognizing that Roger Lott has probably thoroughly researched this before making this latest change. ",4/9/2013,"Deprecated this coordinate system and created a new coordinate system definition named ""MI27/TM-East"" to match this definition and mapped it to EPSG code 5623."
26802,MICHIGAN.Central,"EPSG deprecated this system and replaced it with 5624 which is referenced to NAD27 instead of the old MICHIGAN.  There are two versions of pre 1983 Michigan State Planes: a Lambert based set of systems, and a Transverse Mercator set of systems. In reality, one set is referenced to the elevated ellipsoid datum (MICHIGAN) and the other referenced to NAD27.  Exactly which system is referenced to which datum has always been confused: different source had different associations.  This switch by EPSG is the latest switch.  I believe CS-MAP had it originally correct, but then changed to match EPSG.  In any case, we should change to agree with the latest EPSG, recognizing that Roger Lott has probably thoroughly researched this beforemaking this latest change. ",,"Deprecated this coordinate system and created a new coordinate system definition named ""MI27/TM-Central"" to match this definition and mapped it to EPSG code 5624."
26803,MICHIGAN.West,"EPSG deprecated this system and replaced it with 5625 which is referenced to NAD27 instead of the old MICHIGAN.  There are two versions of pre 1983 Michigan State Planes: a Lambert based set of systems, and a Transverse Mercator set of systems. In reality, one set is referenced to the elevated ellipsoid datum (MICHIGAN) and the other referenced to NAD27.  Exactly which system is referenced to which datum has always been confused: different source had different associations.  This switch by EPSG is the latest switch.  I believe CS-MAP had it originally correct, but then changed to match EPSG.  In any case, we should change to agree with the latest EPSG, recognizing that Roger Lott has probably thoroughly researched this beforemaking this latest change. ",,"Deprecated this coordinate system and created a new coordinate system definition named ""MI27/TM-West"" to match this definition and mapped it to EPSG code 5625."
28348,MGA-48,"This system was deprecated by EPSG and replaced by nothing.  Reason: ""Falls outside EEZ area."" I don't know what EEZ means, but I suspect it means that UTM zone 48 is essentially outside the useful range of the referenced datum.",4/9/2013,Deprecated 28348 in coordsys.asc and category.asc
29903,ING-75,"The Irish Grid coordinate system definitions appear to be thoroughly confused. ING-75 is indeed in the LEAGCY group, and several indications are that it has been replaced by something else several times, but all of these things have also been deprecated.  Need to add a definition which jives with EPSG and correct the mapping of this definition.",4/10/2013,"There appear to be dozens of Irish National Grid CRS's; most all of them deprecated for various reasons.  My best guess as to the confusion level is that while a datum with the name Ireland 1975 did exist for a while, it is not the actual datum which is normally used.  This confusion is amplified by the name of this coordinate system, TM75 / Irish Grid, which is actually referenced to the datum name Ireland 1965.  Sooooo!!!!  I think the proper resolution to this failure is to map the EPSG code 29903 code to CsMap's ""Ireland1965.ING"" coordinate system."
30791,NordSahara1959.UnifieN,EPSG changed the name for this in 7.11; no specific reason has been recorded.,3/29/2013,"Updated the name using Excel, retained the old name as an alias."
30792,NordSahara1959.UnifieS,EPSG changed the name for this in 7.11; no specific reason has been recorded.,3/29/2013,"Updated the name using Excel, retained the old name as an alias."
31275,MGI/gc.Balkans-5,"This change respresents a change in the datum to which this system is referenced, the new Datum being named MGI 1901.  I have no reason to believe that this definition is invalid, justthat the new definitions are probably a biot better.  Nevertheless, EPSG has deprecated the old systems, so I suggest we do the same.  So, I recommend that we deprecate the current CS-MAP definitions in favoir of the new defintiions.",4/9/2013,"Added new datum and geodetic transformation definitions for the MGI 1901 datum.  We used to map that to MGI/gc.  The newer definition is a better definition.  Then, we created a new version of this CRS named MGI/1901.Balkans-5 which referenced the new datum and added such to the name mapper.  We left the old definition alone, but deprecated the definition.  In this manner, we recognize the old EPSG code and encourage the use of the newer definition."
31276,MGI/gc.Balkans-6,"This change respresents a change in the datum to which this system is referenced, the new Datum being named MGI 1901.  I have no reason to believe that this definition is invalid, justthat the new definitions are probably a biot better.  Nevertheless, EPSG has deprecated the old systems, so I suggest we do the same.  So, I recommend that we deprecate the current CS-MAP definitions in favoir of the new defintiions.",4/9/2013,"Added new datum and geodetic transformation definitions for the MGI 1901 datum.  We used to map that to MGI/gc.  The newer definition is a better definition.  Then, we created a new version of this CRS named MGI/1901.Balkans-6 which referenced the new datum and added such to the name mapper.  We left the old definition alone, but deprecated the definition.  In this manner, we recognize the old EPSG code and encourage the use of the newer definition."
31277,MGI/gc.Balkans-7,"This change respresents a change in the datum to which this system is referenced, the new Datum being named MGI 1901.  I have no reason to believe that this definition is invalid, justthat the new definitions are probably a biot better.  Nevertheless, EPSG has deprecated the old systems, so I suggest we do the same.  So, I recommend that we deprecate the current CS-MAP definitions in favoir of the new defintiions.",4/9/2013,"Added new datum and geodetic transformation definitions for the MGI 1901 datum.  We used to map that to MGI/gc.  The newer definition is a better definition.  Then, we created a new version of this CRS named MGI/1901.Balkans-7 which referenced the new datum and added such to the name mapper.  We left the old definition alone, but deprecated the definition.  In this manner, we recognize the old EPSG code and encourage the use of the newer definition."
31279,MGI/gc.Balkans-8,"This change respresents a change in the datum to which this system is referenced, the new Datum being named MGI 1901.  I have no reason to believe that this definition is invalid, justthat the new definitions are probably a biot better.  Nevertheless, EPSG has deprecated the old systems, so I suggest we do the same.  So, I recommend that we deprecate the current CS-MAP definitions in favoir of the new defintiions.",4/9/2013,"Added new datum and geodetic transformation definitions for the MGI 1901 datum.  We used to map that to MGI/gc.  The newer definition is a better definition.  Then,m we created a new version of this CRS named MGI/1901.Balkans-8 which referenced the new datum and added such to the name mapper.  We leftthe old definition alone, but removed the reference to any specific EPSG code.  Note that the EPSG code for this new datum, 1301, used to map to the MGI/gc datum."
32061,NAD27.GuatemalaN,"This change indicates that Guatemala also uses the Ocotepeque 1935 datum as does Costa Rica.  Thus, we need to define new definitions here and deprecate the old ones which reference NAD27.   New association is 5559.  (Was 5458, but that got deprecated and replaces with 5559.)",4/10/2013,"Created new CRS: Ocotepeq35b.GuatemalaN.  This is essentially the same as the original, except the datum referenced is Ocotepeque 1935.  Note new EPSG code 5559.  I'm assuming the Oracle SRID will (eventually) be 5559 as well."
32062,NAD27.GuatemalaS,"This change indicates that Guatemala also uses the Ocotepeque 1935 datum as does Costa Rica.  Thus, we need to define new definitions here and deprecate the old ones which reference NAD27.   New association is 5459.",4/10/2013,"Created new CRS: Ocotepeq35b.GuatemalaS.  This is essentially the same as the original, except the datum referenced is Ocotepeque 1935.  Note new EPSG code 5459.  I'm assuming the Oracle SRID will (eventually) be 5459 as well."
32180,NAD83.SCoPQ-2,Deprecated by EPSG as Quebec does not extend into Zone 2.  There is no replacement system.  I suggest that we deprecate and do not replace it with anything.,4/10/2013,Deprecated this definition and replaces it with nothing.
